timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666543002740,619,Get Users,200,OK,stress 1-1,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,619,0,472
1666543003358,135,Delete User,200,OK,stress 1-1,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,135,0,0
1666543003493,141,Get User by ID,200,OK,stress 1-1,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,141,0,0
1666543004739,549,Get Users,200,OK,stress 1-2,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,549,0,411
1666543005289,129,Delete User,200,OK,stress 1-2,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,129,0,0
1666543005419,127,Get User by ID,200,OK,stress 1-2,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,127,0,0
1666543006740,584,Get Users,200,OK,stress 1-3,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,584,0,405
1666543007324,125,Delete User,200,OK,stress 1-3,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,125,0,0
1666543007449,126,Get User by ID,200,OK,stress 1-3,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,126,0,0
1666543008739,543,Get Users,200,OK,stress 1-4,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,543,0,405
1666543009282,129,Delete User,200,OK,stress 1-4,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,129,0,0
1666543009411,128,Get User by ID,200,OK,stress 1-4,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,128,0,0
1666543010742,562,Get Users,200,OK,stress 1-5,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,562,0,424
1666543011304,135,Delete User,200,OK,stress 1-5,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,135,0,0
1666543011440,124,Get User by ID,200,OK,stress 1-5,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,124,0,0
1666543012739,578,Get Users,200,OK,stress 1-6,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,578,0,423
1666543013318,135,Delete User,200,OK,stress 1-6,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,135,0,0
1666543013453,130,Get User by ID,200,OK,stress 1-6,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,130,0,0
1666543014743,573,Get Users,200,OK,stress 1-7,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,573,0,423
1666543015316,131,Delete User,200,OK,stress 1-7,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,131,0,0
1666543015447,131,Get User by ID,200,OK,stress 1-7,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,131,0,0
